Gene Symbol,Gene Ontology Biological Process,Gene Ontology Cellular Component,Gene Ontology Molecular Function,Pathway
COG7,"0006486 // protein amino acid glycosylation // inferred from mutant phenotype /// 0006810 // transport // inferred from electronic annotation /// 0006886 // intracellular protein transport // inferred from mutant phenotype /// 0006890 // retrograde vesicle-mediated transport, Golgi to ER // inferred from mutant phenotype /// 0015031 // protein transport // inferred from electronic annotation /// 0033365 // protein localization in organelle // inferred from mutant phenotype /// 0034067 // protein localization in Golgi apparatus // inferred from mutant phenotype /// 0050821 // protein stabilization // inferred from mutant phenotype",0000139 // Golgi membrane // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from direct assay /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0017119 // Golgi transport complex // inferred from direct assay,0005515 // protein binding // inferred from physical interaction,---
RNF170,---,0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0005515 // protein binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,---
MRPL3,0006412 // translation // inferred from electronic annotation /// 0006412 // translation // traceable author statement,0005622 // intracellular // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from electronic annotation /// 0005762 // mitochondrial large ribosomal subunit // inferred from electronic annotation /// 0005762 // mitochondrial large ribosomal subunit // inferred from direct assay /// 0005840 // ribosome // inferred from electronic annotation /// 0030529 // ribonucleoprotein complex // inferred from electronic annotation,0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // inferred from electronic annotation,---
HPSE2,---,0005622 // intracellular // traceable author statement /// 0016020 // membrane // inferred from electronic annotation,"0016787 // hydrolase activity // inferred from electronic annotation /// 0016798 // hydrolase activity, acting on glycosyl bonds // inferred from electronic annotation /// 0030305 // heparanase activity // traceable author statement",---
ZNF683,0006350 // transcription // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation,0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation,0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,---
MICALL2,0006897 // endocytosis // inferred from electronic annotation,0005737 // cytoplasm // inferred from electronic annotation /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005923 // tight junction // inferred from electronic annotation /// 0032432 // actin filament bundle // inferred from electronic annotation,0005515 // protein binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,---
LOC441239,---,---,---,---
LOC441178,---,---,---,---
COG3,"0006486 // protein amino acid glycosylation // inferred from mutant phenotype /// 0006810 // transport // inferred from electronic annotation /// 0006886 // intracellular protein transport // inferred from electronic annotation /// 0006888 // ER to Golgi vesicle-mediated transport // inferred from direct assay /// 0006890 // retrograde vesicle-mediated transport, Golgi to ER // inferred from mutant phenotype /// 0006891 // intra-Golgi vesicle-mediated transport // inferred from direct assay /// 0015031 // protein transport // inferred from electronic annotation /// 0033365 // protein localization in organelle // inferred from mutant phenotype /// 0050821 // protein stabilization // inferred from mutant phenotype",0005794 // Golgi apparatus // inferred from direct assay /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0005801 // cis-Golgi network // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0017119 // Golgi transport complex // inferred from direct assay /// 0032580 // Golgi cisterna membrane // inferred from electronic annotation,0005515 // protein binding // inferred from physical interaction /// 0008565 // protein transporter activity // inferred from direct assay,---
USP25,0006464 // protein modification process // traceable author statement /// 0006508 // proteolysis // traceable author statement /// 0006511 // ubiquitin-dependent protein catabolic process // inferred from electronic annotation,---,0004221 // ubiquitin thiolesterase activity // inferred from electronic annotation /// 0004843 // ubiquitin-specific protease activity // traceable author statement /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // traceable author statement /// 0008234 // cysteine-type peptidase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation,---
AUH,0006402 // mRNA catabolic process // inferred from direct assay /// 0008152 // metabolic process // inferred from electronic annotation /// 0009083 // branched chain family amino acid catabolic process // inferred from electronic annotation,0005739 // mitochondrion // inferred from sequence or structural similarity /// 0005739 // mitochondrion // inferred from electronic annotation,0003723 // RNA binding // inferred from electronic annotation /// 0003730 // mRNA 3'-UTR binding // inferred from direct assay /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004300 // enoyl-CoA hydratase activity // inferred from direct assay /// 0004490 // methylglutaconyl-CoA hydratase activity // inferred from electronic annotation /// 0016829 // lyase activity // inferred from electronic annotation,---
CCL28,0006935 // chemotaxis // traceable author statement /// 0006935 // chemotaxis // inferred from electronic annotation /// 0006955 // immune response // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // not recorded /// 0007204 // elevation of cytosolic calcium ion concentration // inferred from electronic annotation,0005576 // extracellular region // traceable author statement /// 0005576 // extracellular region // inferred from electronic annotation /// 0005615 // extracellular space // inferred from electronic annotation,0005125 // cytokine activity // inferred from electronic annotation /// 0008009 // chemokine activity // traceable author statement /// 0008009 // chemokine activity // inferred from electronic annotation,---
FADS1,0006629 // lipid metabolic process // inferred from electronic annotation /// 0006633 // fatty acid biosynthetic process // inferred from electronic annotation /// 0006636 // unsaturated fatty acid biosynthetic process // inferred from direct assay /// 0006636 // unsaturated fatty acid biosynthetic process // inferred from electronic annotation /// 0006636 // unsaturated fatty acid biosynthetic process // traceable author statement /// 0006810 // transport // inferred from electronic annotation /// 0006950 // response to stress // inferred from electronic annotation /// 0007267 // cell-cell signaling // non-traceable author statement /// 0007568 // aging // inferred from electronic annotation /// 0007584 // response to nutrient // inferred from electronic annotation /// 0008610 // lipid biosynthetic process // inferred from electronic annotation /// 0008654 // phospholipid biosynthetic process // traceable author statement /// 0009267 // cellular response to starvation // inferred from direct assay /// 0009744 // response to sucrose stimulus // inferred from electronic annotation /// 0014070 // response to organic cyclic substance // inferred from electronic annotation /// 0019369 // arachidonic acid metabolic process // inferred from electronic annotation /// 0022900 // electron transport chain // inferred from electronic annotation /// 0032868 // response to insulin stimulus // inferred from electronic annotation /// 0033189 // response to vitamin A // inferred from electronic annotation /// 0045449 // regulation of transcription // non-traceable author statement /// 0045595 // regulation of cell differentiation // non-traceable author statement /// 0046456 // icosanoid biosynthetic process // traceable author statement /// 0055114 // oxidation reduction // inferred from electronic annotation,0005624 // membrane fraction // non-traceable author statement /// 0005634 // nucleus // inferred from electronic annotation /// 0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0005789 // endoplasmic reticulum membrane // inferred from electronic annotation /// 0005792 // microsome // non-traceable author statement /// 0005792 // microsome // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // non-traceable author statement /// 0016021 // integral to membrane // inferred from electronic annotation /// 0016021 // integral to membrane // traceable author statement,"0000248 // C-5 sterol desaturase activity // traceable author statement /// 0005506 // iron ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0016491 // oxidoreductase activity // inferred from direct assay /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016717 // oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water // inferred from electronic annotation /// 0020037 // heme binding // inferred from electronic annotation",---
NCRNA00110,---,---,---,---
TELO2,---,"0000781 // chromosome, telomeric region // inferred from electronic annotation /// 0005622 // intracellular // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation",0005515 // protein binding // inferred from physical interaction,---
PIGP,0006506 // GPI anchor biosynthetic process // inferred from electronic annotation /// 0016254 // preassembly of GPI anchor in ER membrane // not recorded,0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // non-traceable author statement /// 0016021 // integral to membrane // inferred from electronic annotation,"0016740 // transferase activity // inferred from electronic annotation /// 0016757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation /// 0017176 // phosphatidylinositol N-acetylglucosaminyltransferase activity // inferred from electronic annotation",---
YTHDF1,---,---,---,---
PRPSAP2,"0006139 // nucleobase, nucleoside, nucleotide and nucleic acid metabolic process // traceable author statement /// 0009165 // nucleotide biosynthetic process // inferred from electronic annotation",0043234 // protein complex // inferred from electronic annotation,0000287 // magnesium ion binding // inferred from electronic annotation /// 0004749 // ribose phosphate diphosphokinase activity // inferred from electronic annotation /// 0004857 // enzyme inhibitor activity // traceable author statement,---
A1CF,0006397 // mRNA processing // inferred from electronic annotation /// 0016556 // mRNA modification // inferred from electronic annotation /// 0050821 // protein stabilization // inferred from direct assay,0005634 // nucleus // inferred from electronic annotation /// 0005720 // nuclear heterochromatin // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0030895 // apolipoprotein B mRNA editing enzyme complex // inferred from direct assay,0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // traceable author statement /// 0003723 // RNA binding // inferred from electronic annotation /// 0003725 // double-stranded RNA binding // inferred from direct assay /// 0003727 // single-stranded RNA binding // inferred from direct assay /// 0003729 // mRNA binding // inferred from electronic annotation /// 0004131 // cytosine deaminase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation,---
LOC100131726,---,---,---,---
MAP7D2,---,---,---,---
CHRD,0001501 // skeletal system development // traceable author statement /// 0001501 // skeletal system development // inferred from electronic annotation /// 0001702 // gastrulation with mouth forming second // inferred from electronic annotation /// 0001707 // mesoderm formation // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007389 // pattern specification process // inferred from electronic annotation /// 0007417 // central nervous system development // inferred from electronic annotation /// 0009953 // dorsal/ventral pattern formation // inferred from electronic annotation /// 0021919 // BMP signaling pathway involved in spinal cord dorsal/ventral patterning // inferred from mutant phenotype /// 0030336 // negative regulation of cell migration // inferred from direct assay /// 0030514 // negative regulation of BMP signaling pathway // inferred from mutant phenotype /// 0030514 // negative regulation of BMP signaling pathway // inferred from electronic annotation /// 0030900 // forebrain development // inferred from electronic annotation /// 0033504 // floor plate development // traceable author statement /// 0045668 // negative regulation of osteoblast differentiation // inferred from electronic annotation /// 0045785 // positive regulation of cell adhesion // inferred from direct assay,0005576 // extracellular region // inferred from electronic annotation /// 0005615 // extracellular space // non-traceable author statement /// 0005615 // extracellular space // inferred from electronic annotation,0005515 // protein binding // inferred from physical interaction /// 0008201 // heparin binding // inferred from electronic annotation /// 0019955 // cytokine binding // non-traceable author statement /// 0045545 // syndecan binding // inferred from electronic annotation,---
ARHGEF2,0000902 // cell morphogenesis // inferred from mutant phenotype /// 0000902 // cell morphogenesis // inferred from electronic annotation /// 0006886 // intracellular protein transport // non-traceable author statement /// 0006915 // apoptosis // not recorded /// 0007015 // actin filament organization // inferred from mutant phenotype /// 0007015 // actin filament organization // inferred from electronic annotation /// 0007026 // negative regulation of microtubule depolymerization // inferred from mutant phenotype /// 0007049 // cell cycle // inferred from electronic annotation /// 0007067 // mitosis // inferred from electronic annotation /// 0008624 // induction of apoptosis by extracellular signals // not recorded /// 0035023 // regulation of Rho protein signal transduction // non-traceable author statement /// 0035023 // regulation of Rho protein signal transduction // inferred from electronic annotation /// 0042127 // regulation of cell proliferation // traceable author statement /// 0051301 // cell division // inferred from electronic annotation,0005622 // intracellular // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0005819 // spindle // inferred from electronic annotation /// 0005829 // cytosol // not recorded /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005874 // microtubule // inferred from direct assay /// 0005874 // microtubule // inferred from electronic annotation /// 0005923 // tight junction // inferred from electronic annotation /// 0030054 // cell junction // inferred from electronic annotation /// 0043025 // neuronal cell body // inferred from electronic annotation /// 0043198 // dendritic shaft // inferred from electronic annotation,0005085 // guanyl-nucleotide exchange factor activity // not recorded /// 0005085 // guanyl-nucleotide exchange factor activity // inferred from electronic annotation /// 0005089 // Rho guanyl-nucleotide exchange factor activity // inferred from direct assay /// 0005089 // Rho guanyl-nucleotide exchange factor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0008017 // microtubule binding // inferred from direct assay /// 0008017 // microtubule binding // inferred from electronic annotation /// 0008270 // zinc ion binding // non-traceable author statement /// 0017048 // Rho GTPase binding // inferred from direct assay /// 0030676 // Rac guanyl-nucleotide exchange factor activity // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation /// 0048365 // Rac GTPase binding // inferred from direct assay,---
KLHDC3,0001503 // ossification // inferred from electronic annotation /// 0006810 // transport // inferred from electronic annotation /// 0006895 // Golgi to endosome transport // inferred from direct assay /// 0006897 // endocytosis // inferred from direct assay /// 0006897 // endocytosis // inferred from electronic annotation /// 0007126 // meiosis // inferred from electronic annotation /// 0007131 // reciprocal meiotic recombination // non-traceable author statement /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from mutant phenotype /// 0007218 // neuropeptide signaling pathway // inferred from direct assay /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0008333 // endosome to lysosome transport // inferred from direct assay /// 0008624 // induction of apoptosis by extracellular signals // inferred from mutant phenotype /// 0010468 // regulation of gene expression // inferred from mutant phenotype /// 0014902 // myotube differentiation // inferred from electronic annotation /// 0014902 // myotube differentiation // inferred from mutant phenotype /// 0016050 // vesicle organization // inferred from direct assay /// 0016050 // vesicle organization // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation /// 0032509 // endosome transport via multivesicular body sorting pathway // inferred from direct assay /// 0032868 // response to insulin stimulus // inferred from electronic annotation /// 0032868 // response to insulin stimulus // inferred from mutant phenotype /// 0043066 // negative regulation of apoptosis // inferred from direct assay /// 0046323 // glucose import // inferred from electronic annotation /// 0046323 // glucose import // inferred from mutant phenotype /// 0048011 // nerve growth factor receptor signaling pathway // inferred from mutant phenotype /// 0048227 // plasma membrane to endosome transport // inferred from direct assay /// 0051005 // negative regulation of lipoprotein lipase activity // inferred from direct assay,0000790 // nuclear chromatin // inferred from direct assay /// 0000790 // nuclear chromatin // inferred from sequence or structural similarity /// 0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from direct assay /// 0005737 // cytoplasm // inferred from sequence or structural similarity /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005764 // lysosome // inferred from electronic annotation /// 0005765 // lysosomal membrane // inferred from electronic annotation /// 0005768 // endosome // inferred from electronic annotation /// 0005768 // endosome // non-traceable author statement /// 0005769 // early endosome // inferred from direct assay /// 0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0005789 // endoplasmic reticulum membrane // inferred from electronic annotation /// 0005792 // microsome // inferred from direct assay /// 0005792 // microsome // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from direct assay /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0005886 // plasma membrane // inferred from direct assay /// 0005886 // plasma membrane // inferred from electronic annotation /// 0005886 // plasma membrane // non-traceable author statement /// 0005905 // coated pit // inferred from direct assay /// 0009986 // cell surface // inferred from direct assay /// 0010008 // endosome membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from direct assay /// 0016021 // integral to membrane // inferred from electronic annotation /// 0016023 // cytoplasmic membrane-bounded vesicle // inferred from direct assay /// 0030136 // clathrin-coated vesicle // inferred from direct assay /// 0030140 // trans-Golgi network transport vesicle // inferred from electronic annotation /// 0031965 // nuclear membrane // inferred from electronic annotation /// 0032580 // Golgi cisterna membrane // inferred from electronic annotation /// 0048471 // perinuclear region of cytoplasm // inferred from direct assay,"0003682 // chromatin binding // inferred from direct assay /// 0003682 // chromatin binding // inferred from sequence or structural similarity /// 0004872 // receptor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0010465 // nerve growth factor receptor activity // inferred from direct assay /// 0019899 // enzyme binding // inferred from physical interaction /// 0030379 // neurotensin receptor activity, non-G-protein coupled // inferred from direct assay /// 0048406 // nerve growth factor binding // inferred from physical interaction",---
INTS4,0016180 // snRNA processing // inferred from direct assay,0005634 // nucleus // inferred from electronic annotation /// 0032039 // integrator complex // inferred from direct assay,0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction,---
LOC645166,0006928 // cellular component movement // traceable author statement /// 0006968 // cellular defense response // traceable author statement /// 0007165 // signal transduction // inferred from electronic annotation,0005886 // plasma membrane // inferred from electronic annotation /// 0015629 // actin cytoskeleton // traceable author statement /// 0016020 // membrane // inferred from electronic annotation,0003779 // actin binding // traceable author statement /// 0004871 // signal transducer activity // inferred from electronic annotation,---
LOC729862,0007165 // signal transduction // inferred from electronic annotation,---,0004871 // signal transducer activity // inferred from electronic annotation,---
LOC646938,---,---,---,---
PRR10,---,---,---,---
C3orf56,---,---,---,---
C21orf90,---,---,---,---
TTTY14,---,---,---,---
GOLGA6L9,---,---,---,---
C10orf79,---,---,---,---
ZFP57,"0000122 // negative regulation of transcription from RNA polymerase II promoter // inferred from electronic annotation /// 0006349 // regulation of gene expression by genetic imprinting // inferred from mutant phenotype /// 0006349 // regulation of gene expression by genetic imprinting // inferred from electronic annotation /// 0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007422 // peripheral nervous system development // inferred from electronic annotation /// 0043045 // DNA methylation involved in embryonic development // inferred from mutant phenotype /// 0043045 // DNA methylation involved in embryonic development // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation",0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005720 // nuclear heterochromatin // inferred from electronic annotation,0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016566 // specific transcriptional repressor activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation,---
CCT6B,0006457 // protein folding // inferred from electronic annotation /// 0006457 // protein folding // traceable author statement /// 0007283 // spermatogenesis // traceable author statement /// 0044267 // cellular protein metabolic process // inferred from electronic annotation /// 0051131 // chaperone-mediated protein complex assembly // traceable author statement,0005737 // cytoplasm // inferred from electronic annotation,0000166 // nucleotide binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008565 // protein transporter activity // traceable author statement /// 0051082 // unfolded protein binding // inferred from electronic annotation /// 0051082 // unfolded protein binding // traceable author statement,---
TUBD1,0007017 // microtubule-based process // inferred from electronic annotation /// 0007018 // microtubule-based movement // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007283 // spermatogenesis // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation /// 0051258 // protein polymerization // inferred from electronic annotation,0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005814 // centriole // inferred from electronic annotation /// 0005814 // centriole // traceable author statement /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005874 // microtubule // inferred from electronic annotation /// 0043234 // protein complex // inferred from electronic annotation,0000166 // nucleotide binding // inferred from electronic annotation /// 0003924 // GTPase activity // inferred from electronic annotation /// 0005198 // structural molecule activity // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation,---
TTTY5,---,---,---,---
GPT,0006094 // gluconeogenesis // non-traceable author statement /// 0006807 // nitrogen compound metabolic process // non-traceable author statement /// 0009058 // biosynthetic process // inferred from electronic annotation,0005737 // cytoplasm // non-traceable author statement /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005829 // cytosol // not recorded,"0003824 // catalytic activity // inferred from electronic annotation /// 0004021 // L-alanine:2-oxoglutarate aminotransferase activity // not recorded /// 0004021 // L-alanine:2-oxoglutarate aminotransferase activity // non-traceable author statement /// 0004021 // L-alanine:2-oxoglutarate aminotransferase activity // inferred from electronic annotation /// 0008483 // transaminase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016769 // transferase activity, transferring nitrogenous groups // inferred from electronic annotation /// 0016847 // 1-aminocyclopropane-1-carboxylate synthase activity // inferred from electronic annotation /// 0030170 // pyridoxal phosphate binding // inferred from electronic annotation",---
ANXA2P3,---,---,---,---
TSKS,---,---,0005515 // protein binding // inferred from physical interaction,---
WDR1,0007605 // sensory perception of sound // traceable author statement,0005576 // extracellular region // not recorded /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005829 // cytosol // not recorded /// 0005856 // cytoskeleton // inferred from electronic annotation,0003779 // actin binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction,Hypertrophy_model // GenMAPP
NCRNA00161,---,---,---,---
PCDHGA2,0007155 // cell adhesion // inferred from electronic annotation /// 0007156 // homophilic cell adhesion // inferred from electronic annotation,0005624 // membrane fraction // inferred from electronic annotation /// 0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation,---
FLJ44881,---,---,---,---
LOC149950,---,---,---,---
LYG2,0008152 // metabolic process // inferred from electronic annotation /// 0009253 // peptidoglycan catabolic process // inferred from electronic annotation /// 0016998 // cell wall macromolecule catabolic process // inferred from electronic annotation,0005576 // extracellular region // inferred from electronic annotation,"0003796 // lysozyme activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016798 // hydrolase activity, acting on glycosyl bonds // inferred from electronic annotation",---
NHS,0002088 // lens development in camera-type eye // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation,0005634 // nucleus // inferred from electronic annotation,---,---
KDM4DL,---,---,---,---
C8orf49,---,0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,---,---
LOC100292653,"0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006508 // proteolysis // inferred from electronic annotation /// 0006810 // transport // inferred from electronic annotation /// 0015031 // protein transport // inferred from electronic annotation /// 0051028 // mRNA transport // inferred from electronic annotation /// 0055085 // transmembrane transport // inferred from electronic annotation",0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005635 // nuclear envelope // not recorded /// 0005643 // nuclear pore // inferred from electronic annotation /// 0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0005789 // endoplasmic reticulum membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation /// 0031965 // nuclear membrane // inferred from electronic annotation,0003676 // nucleic acid binding // inferred from electronic annotation /// 0004190 // aspartic-type endopeptidase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008233 // peptidase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation,---
POM121C,"0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006810 // transport // inferred from electronic annotation /// 0015031 // protein transport // inferred from electronic annotation /// 0051028 // mRNA transport // inferred from electronic annotation /// 0055085 // transmembrane transport // inferred from electronic annotation",0005622 // intracellular // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005643 // nuclear pore // inferred from electronic annotation /// 0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0005789 // endoplasmic reticulum membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation /// 0031965 // nuclear membrane // inferred from electronic annotation,0003676 // nucleic acid binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction,---
GNRHR2,"0000184 // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // inferred from electronic annotation /// 0006396 // RNA processing // inferred from electronic annotation /// 0006397 // mRNA processing // inferred from electronic annotation /// 0006417 // regulation of translation // inferred from electronic annotation /// 0006810 // transport // inferred from electronic annotation /// 0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // not recorded /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0008380 // RNA splicing // inferred from electronic annotation /// 0051028 // mRNA transport // inferred from electronic annotation",0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005634 // nucleus // non-traceable author statement /// 0005681 // spliceosomal complex // inferred from electronic annotation /// 0005730 // nucleolus // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005737 // cytoplasm // non-traceable author statement /// 0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation /// 0016607 // nuclear speck // inferred from electronic annotation /// 0035145 // exon-exon junction complex // inferred from direct assay,0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0003723 // RNA binding // non-traceable author statement /// 0003729 // mRNA binding // non-traceable author statement /// 0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0004968 // gonadotropin-releasing hormone receptor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction,---
FUT11,0006486 // protein amino acid glycosylation // inferred from electronic annotation,0000139 // Golgi membrane // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation /// 0032580 // Golgi cisterna membrane // inferred from electronic annotation,"0008417 // fucosyltransferase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation /// 0046920 // alpha(1,3)-fucosyltransferase activity // inferred from electronic annotation",---
MGC31957,0006915 // apoptosis // inferred from electronic annotation /// 0007165 // signal transduction // traceable author statement,0005886 // plasma membrane // inferred from electronic annotation /// 0005887 // integral to plasma membrane // traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0031225 // anchored to membrane // inferred from electronic annotation,0004872 // receptor activity // inferred from electronic annotation /// 0004888 // transmembrane receptor activity // traceable author statement,---
